Abulfeda W	5	-12.50	13.90	2.5	2500	4.15	4.20	0.00	0.53	0.56	1.00	0.859	1.40	5.00	0.18	1.31		0.00	0.00	0.00	0.03	0.09	100.00	12.50	3.70	1.56	0.80	0.80	3.64	4.01	0.66	5.90	5.12	8.93	4.83	5.39	6.28	3.59	0.00	0.42	0.00	0.39	0.04							NLF?	Abulfeda W
Abulfeda X	6	-15.00	14.00	3.0	3000	4.98	5.04	0.00	0.73	0.90	1.20	1.019	1.68	8.64	0.22	1.57		0.00	0.00	0.00	0.03	0.10	120.00	15.00	4.44	1.88	0.96	1.47	5.96	6.55	1.22	7.09	6.12	10.94	6.10	6.87	8.11	4.51	0.00	0.50	0.00	0.50	0.07							NLF?	Abulfeda X
Abulfeda Y	5	-12.80	14.10	2.5	2500	4.15	4.20	0.00	0.53	1.08	1.00	0.859	1.40	5.00	0.18	1.31		0.00	0.00	0.00	0.03	0.09	100.00	12.50	3.70	1.56	0.80	0.80	3.64	4.01	0.66	5.90	5.12	8.93	4.83	5.39	6.28	3.59	0.00	0.42	0.00	0.39	0.04							NLF?	Abulfeda Y
Abulfeda Z	5	-14.70	15.20	2.5	2500	4.15	4.20	0.00	0.53	0.83	1.00	0.859	1.40	5.00	0.18	1.31		0.00	0.00	0.00	0.03	0.09	100.00	12.50	3.70	1.56	0.80	0.80	3.64	4.01	0.66	5.90	5.12	8.93	4.83	5.39	6.28	3.59	0.00	0.42	0.00	0.39	0.04							NLF?	Abulfeda Z
Acosta	13	-5.60	60.10	6.5	6500	10.79	10.92	0.00	2.87		2.61	2.110	3.64	0.00	0.49	3.44		0.00	0.00	0.00	0.05	0.16	260.00	32.50	9.63	4.06	2.08	15.90	38.63	42.40	13.11	15.43	13.01	25.89	16.49	19.26	23.93	11.85	0.00	1.09	0.00	1.35	1.41							IAU1976	Acosta
Adams	66	-31.90	68.20	33.0	33000	56.76	52.85	38.47	35.03		3.68	2.741	17.62	3799.47	1.26	15.50	0.12	0.00	14.52	86.90	0.16	0.47	308.91	38.61	11.44	4.83	2.47	139.63	498.59	544.65	492.23	79.13	63.51	158.26	87.94	103.54	130.15	90.29	5.89	5.28	9.97	10.40	610.86	Nectarian	2		GHM 1 PC			IAU1970	Adams
Adams B	28	-31.50	65.60	14.0	14000	24.08	25.50	17.26	12.00		2.85	1.968	8.50	524.22	0.89	7.57		0.43	4.68	13.29	0.09	0.27	163.78	20.47	6.07	2.56	1.31	32.51	163.17	178.70	91.70	33.40	27.50	60.87	31.12	35.55	42.84	30.91	2.84	2.55	2.74	4.05	36.92							NLF?	Adams B
Adams C	10	-32.30	65.50	5.0	5000	8.30	8.40	0.00	1.80		2.01	1.648	2.80	40.00	0.37	2.64		0.00	0.00	0.00	0.05	0.14	200.00	25.00	7.41	3.13	1.60	7.41	21.39	23.49	6.11	11.85	10.07	19.33	11.77	13.57	16.57	8.54	0.00	0.84	0.00	0.96	0.51							NLF?	Adams C
Adams D	42	-32.50	71.60	21.0	21000	36.12	35.99	25.22	19.92		3.22	2.226	12.00	1337.47	1.05	10.63		0.95	8.31	32.30	0.12	0.35	221.09	27.64	8.19	3.45	1.77	68.73	293.67	321.23	215.43	50.22	40.85	95.64	50.86	58.94	72.45	51.32	4.01	3.60	5.51	6.33	139.18							NLF?	Adams D
Adams M	24	-34.80	69.20	12.0	12000	20.64	22.37	14.95	9.90		2.72	1.877	7.46	367.17	0.84	6.66		0.31	3.65	9.48	0.08	0.24	146.12	18.27	5.41	2.28	1.17	23.71	126.53	138.64	64.26	28.60	23.66	51.27	25.82	29.34	35.08	25.50	0.00	2.24	0.00	3.42	22.30							NLF?	Adams M
Adams P	24	-35.20	71.00	12.0	12000	20.64	22.37	14.95	9.90		2.72	1.877	7.46	367.17	0.84	6.66		0.31	3.65	9.48	0.08	0.24	146.12	18.27	5.41	2.28	1.17	23.71	126.53	138.64	64.26	28.60	23.66	51.27	25.82	29.34	35.08	25.50	0.00	2.24	0.00	3.42	22.30							NLF?	Adams P
Aepinus	17	87.98	-108.55	8.7	8700	14.44	17.02	11.07	4.80		2.47	2.776	5.67	0.00	0.74	5.09		0.17	1.94	4.69	0.066	0.197	115.18	14.40	4.27	1.80	0.92	11.60	70.32	77.12	28.91	20.69	17.29	35.83	17.49	19.65	23.12	17.06	0.00	1.70	0.00	2.40	7.78								Aepinus
